Customer_ID,Gender,Age,Marital_status,Children,Tenure_months,Monthly_charges,Total_charges,Phone,Internet,Contract,Paperless_billing,Payment_method,Churn
1,Female,50,1,NULL,8,94.2,777.3,Yes,Fiber,Monthly,Yes,Electronic check,Yes
2,Male,70,1,NULL,24,78.85,1772.25,Yes,Fiber,Monthly,Yes,Electronic check,Yes
3,Male,73,NULL,NULL,47,20.05,951.55,Yes,No,Yearly,No,Mailed check,No
4,Male,37,NULL,NULL,17,93.85,1625.65,Yes,Fiber,Monthly,No,Electronic check,Yes
5,Female,71,NULL,1,32,79.5,2665,Yes,Fiber,Monthly,Yes,Electronic check,No
6,Female,62,NULL,NULL,12,60.65,743.3,No,DSL,Yearly,No,Electronic check,No
7,Male,54,NULL,1,30,25.35,723.3,Yes,No,Yearly,No,Bank transfer (automatic),No
8,Female,39,NULL,NULL,40,93.4,3756.4,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),No
9,Male,50,NULL,0,4,94.75,422.4,Yes,Fiber,Monthly,Yes,Electronic check,No
10,Female,77,NULL,1,4,79.15,317.25,Yes,Fiber,Monthly,Yes,Electronic check,Yes
11,Male,24,1,NULL,45,81.4,3775.85,Yes,Fiber,Monthly,No,Bank transfer (automatic),No
12,Female,32,NULL,NULL,62,25.8,1563.95,Yes,No,Biyearly,Yes,Credit card (automatic),No
13,Male,58,NULL,1,1,45.85,45.85,Yes,DSL,Monthly,Yes,Mailed check,Yes
14,Male,28,1,NULL,32,36.25,1151.05,No,DSL,Yearly,Yes,Mailed check,No
15,Female,25,1,NULL,11,19.7,216.2,Yes,No,Monthly,No,Credit card (automatic),No
16,Female,75,NULL,NULL,2,49.2,103.7,Yes,DSL,Monthly,No,Mailed check,No
17,Female,49,NULL,0,1,25.8,25.8,No,DSL,Monthly,Yes,Mailed check,Yes
18,Female,28,1,NULL,67,36.15,2434.45,No,DSL,Biyearly,No,Bank transfer (automatic),No
19,Female,70,0,0,33,80.6,2656.5,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
20,Male,42,0,0,46,38.25,1755.35,No,DSL,Biyearly,No,Mailed check,No
21,Male,27,0,1,66,99.5,6710.5,Yes,Fiber,Monthly,No,Electronic check,Yes
22,Male,49,NULL,0,1,90.1,90.1,Yes,Fiber,Monthly,Yes,Electronic check,No
23,Female,38,0,NULL,29,55.25,1620.2,Yes,DSL,Yearly,Yes,Electronic check,No
24,Female,44,1,1,69,61.4,4059.85,Yes,DSL,Biyearly,No,Credit card (automatic),No
25,Male,71,1,1,1,79.15,79.15,Yes,Fiber,Monthly,Yes,Electronic check,Yes
26,Female,38,NULL,1,21,99.85,1992.55,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
27,Female,24,0,NULL,10,74.75,799.65,Yes,Fiber,Monthly,Yes,Electronic check,Yes
28,Male,60,0,1,72,111.95,8033.1,Yes,Fiber,Biyearly,No,Bank transfer (automatic),No
29,Male,64,1,NULL,40,55.25,2139.2,Yes,DSL,Monthly,Yes,Mailed check,Yes
30,Male,44,0,NULL,67,105.05,7171.7,Yes,Fiber,Biyearly,Yes,Electronic check,No
31,Male,70,1,1,40,19.6,808.95,Yes,No,Biyearly,No,Mailed check,No
